policy,metric,escalation,n_common_seeds,a_median,b_median,median_abs_change,median_rel_change_pct,wilcoxon_stat,wilcoxon_p
no_twin,number_of_islands,A_nominal -> B_moderate,30,1.0,1.0,0.0,0.0,0.0,1.0
no_twin,number_of_islands,A_nominal -> B_severe,30,1.0,1.0,0.0,0.0,0.0,1.0
no_twin,isolated_nodes,A_nominal -> B_moderate,30,0.0,25.0,25.0,,0.0,1.7040659206732472e-06
no_twin,isolated_nodes,A_nominal -> B_severe,30,0.0,38.0,38.0,,0.0,1.138930880390164e-06
no_twin,actions_taken,A_nominal -> B_moderate,30,200.0,200.0,0.0,0.0,0.0,1.0
no_twin,actions_taken,A_nominal -> B_severe,30,200.0,200.0,0.0,0.0,0.0,1.0
no_twin,frequency_deviation_count,A_nominal -> B_moderate,30,9800.0,8158.5,-1543.5,-15.75,0.0,1.7289484360195754e-06
no_twin,frequency_deviation_count,A_nominal -> B_severe,30,9800.0,9800.0,0.0,0.0,18.0,0.016858470670592964
no_twin,average_voltage_pu,A_nominal -> B_moderate,30,0.961428571428572,0.47561224489795917,-0.4761224489795923,-50.02150972667313,0.0,1.7300371292901245e-06
no_twin,average_voltage_pu,A_nominal -> B_severe,30,0.961428571428572,0.22204081632653058,-0.7200000000000005,-76.42980935875218,0.0,1.3877325930952065e-06
no_twin,minimum_voltage_pu,A_nominal -> B_moderate,30,0.95,0.0,-0.95,,0.0,9.633570086430965e-07
no_twin,minimum_voltage_pu,A_nominal -> B_severe,30,0.95,0.0,-0.95,,0.0,9.633570086430965e-07
no_twin,maximum_voltage_pu,A_nominal -> B_moderate,30,1.0,1.0,0.0,0.0,0.0,1.0
no_twin,maximum_voltage_pu,A_nominal -> B_severe,30,1.0,1.0,0.0,0.0,0.0,1.0
no_twin,successful_restoration_count,A_nominal -> B_moderate,30,0.0,0.0,0.0,,0.0,1.0
no_twin,successful_restoration_count,A_nominal -> B_severe,30,0.0,0.0,0.0,,0.0,1.0
no_twin,controller_runtime_s,A_nominal -> B_moderate,30,0.11660000000000001,0.36975,0.25505,225.3265550021621,0.0,1.733306644199106e-06
no_twin,controller_runtime_s,A_nominal -> B_severe,30,0.11660000000000001,0.36345000000000005,0.2476,209.0961293100446,0.0,1.7343976283205784e-06
no_twin,runtime_s,A_nominal -> B_moderate,30,1.5163,1.12405,-0.37570000000000003,-24.350518681001468,1.0,1.9209211049031396e-06
no_twin,runtime_s,A_nominal -> B_severe,30,1.5163,1.0704,-0.42555,-28.946803004111608,0.0,1.7343976283205784e-06
persistence,ens,A_nominal -> B_moderate,30,30.0,50.0,20.0,66.66666666666666,0.0,4.320463057827488e-08
persistence,ens,A_nominal -> B_severe,30,30.0,80.0,50.0,166.66666666666669,0.0,6.79884997479191e-08
persistence,saidi,A_nominal -> B_moderate,30,0.0,0.0,0.0,,0.0,1.0
persistence,saidi,A_nominal -> B_severe,30,0.0,0.0,0.0,,0.0,1.0
persistence,saifi,A_nominal -> B_moderate,30,0.061224489795918366,0.10204081632653061,0.04081632653061225,66.66666666666667,0.0,4.320463057827488e-08
persistence,saifi,A_nominal -> B_severe,30,0.061224489795918366,0.16326530612244897,0.1020408163265306,166.66666666666666,0.0,6.79884997479191e-08
persistence,restoration_time_seconds,A_nominal -> B_moderate,30,0.0,0.0,0.0,,0.0,1.0
persistence,restoration_time_seconds,A_nominal -> B_severe,30,0.0,0.0,0.0,,0.0,1.0
persistence,critical_load_restored_pct,A_nominal -> B_moderate,30,100.0,0.0,-100.0,-100.0,0.0,3.1253674655407795e-06
persistence,critical_load_restored_pct,A_nominal -> B_severe,30,100.0,0.0,-100.0,-100.0,0.0,2.604811871305236e-07
persistence,voltage_violation_count,A_nominal -> B_moderate,30,0.0,2592.0,2592.0,,0.0,1.7343976283205784e-06
persistence,voltage_violation_count,A_nominal -> B_severe,30,0.0,5887.0,5854.0,,0.0,1.7343976283205784e-06
persistence,line_overload_count,A_nominal -> B_moderate,30,5.0,0.0,-4.5,,0.0,3.944654323087218e-05
